Major Doctrines of Nāgārjuna,,
Aspect,Description,
Emptiness (Śūnyatā),All phenomena (dharmas) lack inherent existence or essence (svabhāva); things exist only in dependence on other things and conditions1245.,
Dependent Origination (Pratītyasamutpāda),Everything arises in dependence upon causes and conditions; nothing exists independently458.,
Two Truths Doctrine,"Distinction between Conventional Truth (saṃvṛti satya)—the everyday, practical reality—and Ultimate Truth (paramārtha satya)—the realization that all things are empty of inherent nature57.",
The Middle Way,Avoids extremes of eternalism (belief in permanent existence) and nihilism (belief in total non-existence); advocates a “middle way” between these views456.,
Rejection of Svabhāva,"Denial of intrinsic, independent, or permanent essence in all things; all concepts and categories are mental constructs lacking ultimate reality45.",
Nāgārjuna’s Dialectical Method,,
Aspect,Description,
Tetralemma (Catuṣkoṭi),"Fourfold negation applied to philosophical propositions:
1. X exists
2. X does not exist
3. X both exists and does not exist
4. X neither exists nor does not exist71012.",
Reductio ad Absurdum,"Uses logical deconstruction to show that all philosophical positions about ultimate reality are untenable and contradictory, thus dispelling attachment to any fixed view79.",
Destructive Dialectics,"Applies relentless skepticism to reveal the emptiness of all discursive thought and conceptual categories, refusing to affirm or deny any philosophical proposition69.",
Application,"This method is used to analyze concepts such as causality, motion, self, aggregates, space, and time, demonstrating their lack of inherent existence71012.",
Key Philosophical Implications,,
Aspect,Description,
Liberation,"Realizing emptiness leads not to nihilism, but to liberation by recognizing the interconnectedness and interdependence of all things, freeing the mind from attachment and suffering145.",
Ethics,"Ethical action is possible and meaningful within the conventional world, even as one understands the ultimate emptiness of all phenomena15.",
Soteriology,"The goal is to abandon all fixed views (drishti), attain wisdom, and end suffering by following the Middle Way57.",
Comparison: Key Concepts,,
Concept,Definition/Explanation,Role in Nāgārjuna’s Philosophy
Śūnyatā (Emptiness),Absence of inherent existence in all things,Central doctrine; basis for all views
Pratītyasamutpāda,Dependent origination; all phenomena arise from causes and conditions,Foundation for emptiness
Svabhāva,Intrinsic nature or own-being,Denied by Nāgārjuna
Two Truths,Conventional (practical) vs. Ultimate (emptiness) truth,Framework for understanding reality
Catuṣkoṭi (Tetralemma),Fourfold logic negating all fixed positions,Core dialectical tool
Middle Way,Path between extremes of existence and non-existence,Practical and philosophical guidance
,,
"These tables capture the essential features of Nāgārjuna’s philosophical system and dialectical approach, highlighting his profound influence on Buddhist thought and his method of leading practitioners beyond conceptual extremes124571012.",,
,,
,,
,,
Core Doctrines of the Mind-Only Schools,,
Principle,Description,
Vijñapti-mātra (Consciousness-only),All experiences and phenomena are cognitive representations within consciousness; reality as we know it is mind-only456.,
Eight Consciousnesses,Expansion of the traditional six consciousnesses to include the defiled self-consciousness (kliṣṭamanovijñāna) and the storehouse consciousness (ālaya-vijñāna)26.,
Ālaya-vijñāna (Storehouse Consciousness),"The foundational consciousness that stores karmic seeds and habitual tendencies, giving rise to experiences and the apparent world246.",
Three Natures (Trisvabhāva),"All phenomena are divided into: 1) Imaginary (parikalpita), 2) Dependent (paratantra), and 3) Perfected/Truly Established (pariniṣpanna)4.",
No External Objects,"What we perceive as external objects are manifestations of the mind, not independently existing entities456.",
Epistemological Focus,"Emphasis on understanding how the mind constructs experience, rather than making claims about external reality35.",
Practice-Oriented Philosophy,"Teachings are meant as a guide for spiritual practice and self-liberation, not just abstract theory15.",
Removal of Ignorance,The goal is to remove ignorance and mistaken views about the nature of reality and mind35.,
Key Psychological and Philosophical Features,,
Feature,Description,
Mutual Causality of Consciousnesses,"The eight consciousnesses exist in a web of mutual causality, influencing and conditioning each other12.",
Transformation of Consciousness,Liberation involves transforming the storehouse and defiled consciousnesses into wisdom26.,
Habitual Tendencies,Karmic seeds and mental habits stored in the ālaya-vijñāna shape perceptions and experiences46.,
Attachment as Source of Suffering,Suffering arises from attachment to self and to phenomena as inherently real6.,
Duality as Delusion,The duality between subject and object is an illusion created by the mind46.,
Responsibility for Experience,"Individuals are responsible for their own experiences, shaped by their actions and mental habits6.",
Major Theoretical Innovations,,
Innovation,Description,
Expansion to Eight Consciousnesses,"Addressed issues left unresolved by the six-consciousness model, such as karmic continuity and subconscious processes26.",
Threefold Nature of Phenomena,Provided a nuanced framework for understanding how delusion and enlightenment arise in perception4.,
Storehouse Consciousness,Explained the continuity of experience and karmic effects across lifetimes246.,
Core Practices and Goals,,
Practice/Goal,Description,
Sincere Self-Reflection,Real insight and transformation occur through self-reflection in daily life6.,
Severing Attachment,Practice aims to cut through attachment to self and phenomena6.,
Realization of Mind-Only,"Ultimate goal is to realize that all phenomena are mind-only, leading to liberation from suffering456.",
,,
Let me know if you’d like further breakdowns or more detail on any specific aspect!,,
